X[m],Y[m],Z[m],Magnitude
1884.8886,-618.2819939,-119.8898828,0.5
1887.3162,-614.6249939,-129.8898828,0.39
1888.7952,-614.0119939,-129.8898828,0.31
1882.8258,-618.3609939,-129.8898828,0.46
1630.2207,-956.1669939,-129.8898828,0.16
1632.7364,-753.4129939,-149.8898828,0.14
1754.1469,-689.8709939,-169.8898828,0.31
1597.6999,-971.8839939,-149.8898828,0.4
1825.5834,-706.6559939,-119.8898828,0.35
1817.9404,-706.5009939,-129.8898828,0.05
1968.253,-599.7399939,-129.8898828,0.4
1642.6653,-947.5619939,-129.8898828,0.02
1784.5178,-672.0059939,-149.8898828,0.14
1811.1261,-647.3769939,-149.8898828,0.48
1650.8088,-947.6989939,-109.8898828,0.39
1716.8847,-702.6489939,-139.8898828,0.42
1627.2876,-958.0609939,-99.88988281,0.44
1669.2453,-936.9729939,-129.8898828,0.33
1732.456,-750.0759939,-139.8898828,0.38
878.7395999,-184.8879939,-129.8898828,0.47
1792.1815,-847.5239939,-129.8898828,0.4
1094.0253,640.1150061,-99.88988281,0.36
974.6674999,-81.5519939,-89.88988281,0.39
791.3960999,-232.1919939,-149.8898828,0.39
1196.5567,313.5460061,-109.8898828,0.44
851.7345999,-199.0539939,-129.8898828,0.37
899.6783999,-145.9939939,-139.8898828,0.5
895.0910999,-147.1699939,-149.8898828,0.45
1117.1897,-12.2149939,-109.8898828,0.43
1179.0557,21.7660061,-99.88988281,0.38
1983.2208,279.4300061,-89.88988281,0.48
1799.4538,182.6490061,-139.8898828,0.48
1949.716,261.8900061,-89.88988281,0.36
1513.3752,-225.2769939,-139.8898828,0.43
1610.9099,-405.6319939,-139.8898828,0.43
1627.4038,-398.2109939,-129.8898828,0.44
1700.456,-363.6869939,-139.8898828,0.44
1711.1611,-363.7269939,-139.8898828,0.16
1777.9273,-551.1509939,-69.88988281,0.9
1917.7265,-383.6259939,-169.8898828,0.73
1797.9844,-543.5929939,-99.88988281,0.94
1776.0546,-556.2359939,-99.88988281,0.85
1918.3449,-386.7219939,-129.8898828,0.81
1877.4637,-477.1819939,-139.8898828,0.93
1901.767,-391.9189939,-129.8898828,0.53
1685.7735,-567.3489939,-129.8898828,0.51
1884.4181,-404.8339939,-139.8898828,0.89
1866.9443,-482.0379939,-139.8898828,0.76
1858.9411,-485.5729939,-129.8898828,0.57
1885.3801,-403.7939939,-129.8898828,0.53
1889.8246,-400.5059939,-129.8898828,0.79
1691.5006,-596.2099939,-99.88988281,0.64
1672.9433,-603.7099939,-69.88988281,0.95
1747.469,-541.9459939,-159.8898828,0.75
1842.6711,-498.8919939,-139.8898828,0.82
1880.182,-400.4269939,-119.8898828,0.93
1839.0914,-498.5819939,-139.8898828,0.5
1818.1794,-430.8569939,-159.8898828,0.61
1866.6381,-406.3999939,-129.8898828,0.95
1866.0831,-404.9729939,-119.8898828,0.77
1837.6006,-419.7579939,-139.8898828,0.87
1769.5394,-452.2009939,-199.8898828,0.82
1805.5508,-434.5679939,-139.8898828,0.52
1781.3259,-439.4979939,-149.8898828,0.68
1826.5305,-423.2979939,-119.8898828,0.53
1652.2873,-623.5449939,-189.8898828,0.6
1556.7299,-655.6899939,-109.8898828,0.64
1534.631,-665.5519939,-189.8898828,0.84
1594.3621,-641.1169939,-129.8898828,0.8
1535.3833,-670.5369939,-119.8898828,0.71
1561.9449,-659.5029939,-179.8898828,0.62
1604.3611,-635.7239939,-159.8898828,0.77
1646.3008,-734.7389939,-169.8898828,0.95
1602.59,-818.5069939,-149.8898828,0.67
1935.2893,-590.5199939,-119.8898828,0.55
1623.1437,-809.1489939,-169.8898828,0.61
1615.1523,-813.0169939,-149.8898828,0.56
1884.8886,-618.2819939,-119.8898828,0.5
1739.3611,-689.5399939,-149.8898828,0.98
1710.0111,-707.9229939,-149.8898828,0.82
1820.0622,-642.0239939,-149.8898828,0.91
1845.2099,-646.5279939,-159.8898828,0.96
1632.233,-954.7539939,-19.88988281,0.7
1624.6234,-955.4879939,10.11011719,0.52
1852.7868,-631.7569939,-169.8898828,0.83
1659.1781,-940.5859939,-129.8898828,0.81
1661.2242,-940.0629939,-99.88988281,0.81
1780.2795,-721.9679939,-129.8898828,0.61
1661.1904,-939.1729939,-129.8898828,0.62
1753.3361,-736.1369939,-129.8898828,0.79
1694.7726,-763.3159939,-119.8898828,0.95
1694.1394,-720.2229939,-159.8898828,0.74
1738.3003,-890.9029939,-129.8898828,0.81
1647.7651,-746.9389939,-169.8898828,0.51
1753.0888,-878.0859939,-139.8898828,0.83
1773.9526,-863.7019939,-139.8898828,0.97
1777.6508,-867.1269939,-149.8898828,0.63
1798.8076,-847.2719939,-139.8898828,0.67
1787.0656,-859.5279939,-149.8898828,0.75
1146.8762,670.6360061,-89.88988281,0.57
1008.3851,602.8970061,-99.88988281,0.65
1036.7038,-52.0229939,-99.88988281,0.96
961.5143999,-111.1269939,-139.8898828,0.53
1009.8004,376.6740061,-99.88988281,0.73
1049.1592,399.9980061,-139.8898828,0.94
1766.9074,-463.6649939,-159.8898828,0.51
846.3441999,-203.8249939,-129.8898828,0.8
1206.6591,316.1570061,-99.88988281,0.65
1197.645,311.2480061,-99.88988281,0.54
1233.4919,333.1040061,-109.8898828,0.77
1179.0911,303.7500061,-99.88988281,0.55
1037.2319,230.4250061,-139.8898828,0.53
1026.1668,240.0340061,-119.8898828,0.57
850.3227999,-201.4469939,-119.8898828,0.7
1254.99,343.8330061,-99.88988281,0.82
899.6783999,-145.9939939,-139.8898828,0.5
1139.6773,281.8710061,-119.8898828,1
1147.5281,289.4090061,-109.8898828,0.92
992.7402999,-74.5189939,-89.88988281,0.9
1284.851,361.7870061,-119.8898828,0.92
1265.5374,347.9090061,-89.88988281,1
1270.9983,350.7900061,-89.88988281,0.76
1000.2307,-70.6699939,-99.88988281,0.77
1282.5407,356.6860061,-89.88988281,0.6
1278.4618,356.9770061,-79.88988281,0.53
1056.1716,-55.4099939,-119.8898828,0.75
1162.1855,9.429006103,-109.8898828,0.72
1196.6615,27.8910061,-99.88988281,0.74
1780.2654,218.2410061,-99.88988281,0.7
2027.2267,300.6000061,-79.88988281,0.78
1218.1739,38.2860061,-109.8898828,0.89
1229.1927,43.1590061,-109.8898828,0.54
1268.1589,63.6850061,-99.88988281,0.55
1271.2212,63.8010061,-89.88988281,0.7
1304.7308,79.6650061,-89.88988281,0.74
1315.2157,85.4090061,-109.8898828,0.76
1316.0261,90.4540061,-109.8898828,0.78
1328.1794,91.8050061,-89.88988281,0.7
1334.1988,94.8180061,-89.88988281,0.86
1975.2529,275.0040061,-79.88988281,0.94
1928.2688,251.4930061,-89.88988281,0.78
2021.7037,297.7160061,-79.88988281,0.97
1948.288,259.9410061,-99.88988281,0.6
1406.065,-282.3749939,-149.8898828,0.63
1718.9899,142.4940061,-129.8898828,0.95
1883.6488,231.6370061,-99.88988281,0.71
1688.9071,-367.8019939,-149.8898828,0.81
1702.968,-362.2549939,-129.8898828,0.77
1506.9888,-876.0539939,-159.8898828,1.28
1540.7016,-852.1599939,-199.8898828,1.3
1885.8562,-469.0639939,-139.8898828,1.23
1762.1282,-565.3429939,-79.88988281,1.2
1706.0435,-603.3459939,-159.8898828,1.45
1690.3325,-593.4689939,-119.8898828,1.56
1881.4548,-475.1359939,-149.8898828,1.24
1868.9394,-480.1789939,-149.8898828,1.1
1707.2035,-554.7259939,-159.8898828,2.13
1726.1028,-582.6419939,-99.88988281,2.17
1713.7051,-590.7999939,-89.88988281,1.45
1885.3463,-402.9039939,-129.8898828,1.06
1695.5067,-607.7569939,-89.88988281,1.93
1786.5789,-444.3119939,-149.8898828,1.54
1870.6459,-404.7999939,-139.8898828,1.26
1773.484,-448.9319939,-179.8898828,1.32
1795.6776,-522.4009939,-159.8898828,1.67
1804.9637,-419.1039939,-229.8898828,1.25
1746.2958,-537.4219939,-149.8898828,1.17
1663.9573,-609.3989939,-119.8898828,1.38
1769.2425,-525.1869939,-149.8898828,1.17
1812.9648,-509.4899939,-149.8898828,1.21
1757.3527,-439.5169939,-189.8898828,1.15
1604.1015,-642.0839939,-179.8898828,1.95
1590.5058,-646.7219939,-179.8898828,1.7
1560.5332,-661.8959939,-169.8898828,1.34
1645.921,-617.4359939,-139.8898828,1.63
1646.5789,-687.6009939,70.11011719,1.11
1610.6334,-627.7989939,-79.88988281,1.38
1627.5852,-617.5749939,-109.8898828,1.42
1679.8705,-720.3189939,-169.8898828,1.69
1599.7985,-810.9249939,-199.8898828,2.01
1615.1354,-812.5719939,-159.8898828,1.11
1129.2109,-492.3899939,-109.8898828,1.95
1902.8061,-607.1289939,-149.8898828,1.65
1899.832,-609.5819939,-159.8898828,1.79
1741.1526,-697.1599939,-159.8898828,1.97
1594.9927,-966.5269939,-69.88988281,1.71
1969.2024,-598.3669939,-129.8898828,1.34
1974.7655,-598.1559939,-129.8898828,1.54
1624.6065,-955.0429939,-29.88988281,1.1
1783.5683,-673.3789939,-169.8898828,1.29
1593.7589,-975.2639939,-39.88988281,1.4
1778.4426,-673.5739939,-139.8898828,2.19
1687.946,-718.6759939,-129.8898828,1.92
1650.6696,-944.0279939,0.110117188,1.31
1827.7938,-644.5159939,-159.8898828,1.57
1706.9988,-709.3739939,-139.8898828,1.05
1691.9839,-770.6629939,-139.8898828,1.28
1835.0565,-634.6579939,-159.8898828,1.52
1554.1426,-977.2119939,0.110117188,2.33
1550.704,-995.5019939,-109.8898828,1.01
1620.5432,-955.1969939,-129.8898828,2.3
1666.7371,-938.5169939,-149.8898828,1.95
1760.8272,-732.2879939,-149.8898828,1.32
1738.8752,-744.3739939,-139.8898828,1.03
1732.1292,-901.4979939,-119.8898828,1.01
1677.1029,-728.2229939,-159.8898828,1.62
1761.1216,-873.6589939,-139.8898828,1.27
1010.8799,604.7740061,-109.8898828,1.36
1103.3703,649.4930061,-119.8898828,2.34
938.8115999,-103.2939939,-109.8898828,2.04
969.7947999,-101.6779939,-129.8898828,1.71
2030.7042,302.9600061,-79.88988281,1.37
1049.1256,400.8880061,-129.8898828,1.55
813.2930999,-218.6639939,-139.8898828,1.87
1071.0522,413.5270061,-119.8898828,1.34
973.3641999,208.0690061,-169.8898828,1.83
1215.5938,321.5080061,-99.88988281,1.06
911.4080999,-133.4079939,-119.8898828,1.12
997.7029999,224.8090061,-169.8898828,1.33
1076.214,250.5040061,-129.8898828,1.24
1209.4862,320.8320061,-109.8898828,2.07
1224.4226,331.3130061,-109.8898828,1.18
1139.6773,281.8710061,-119.8898828,1
1232.4583,333.9560061,-99.88988281,1.26
1266.0206,348.3730061,-99.88988281,1.29
934.4722999,-124.2919939,-129.8898828,1.78
1265.5374,347.9090061,-89.88988281,1
1022.2065,-72.5139939,-169.8898828,2.22
977.8188999,-98.7009939,-129.8898828,1.45
1144.8651,-2.589993897,-169.8898828,2.36
979.9485999,-100.4039939,-139.8898828,1.28
1155.8967,1.950006103,-119.8898828,1.4
1253.0978,71.3600061,-309.8898828,1.63
1524.3531,183.5760061,-129.8898828,1.79
1228.8779,38.2450061,-119.8898828,1.01
1220.5511,43.2780061,-119.8898828,1.93
1255.9903,47.8500061,-149.8898828,1.25
1575.8207,318.3310061,-109.8898828,1.49
1290.8435,69.5580061,-119.8898828,1.39
1563.8798,309.7450061,-99.88988281,1.15
2024.6982,299.6130061,-79.88988281,1.43
1548.3379,303.6960061,-119.8898828,1.15
1690.762,267.8760061,-99.88988281,1.55
1652.8957,246.4960061,-129.8898828,1.39
1917.7174,247.5270061,-89.88988281,1.27
1722.9847,144.4280061,-129.8898828,1.45
1855.936,211.5330061,-109.8898828,1.52
1920.2891,245.7310061,-89.88988281,1.05
1798.437,183.0560061,-119.8898828,1.69
1903.349,236.9540061,-79.88988281,1.17
1736.185,159.4130061,-149.8898828,2.1
1780.9677,173.3680061,-129.8898828,1.16
1834.1808,207.5870061,-129.8898828,1.13
1747.4394,158.0580061,-129.8898828,1.14
1934.0898,258.0650061,-79.88988281,1.14
1886.2956,229.5100061,-99.88988281,1.43
1861.1178,221.7570061,-109.8898828,1.14
1512.4595,-227.5399939,-149.8898828,1.16
1884.2671,228.5410061,-99.88988281,1.12
1922.8683,245.3830061,-99.88988281,1.21
1659.4369,-382.9579939,-139.8898828,1.38
1669.452,-378.0099939,-159.8898828,1.1
1692.4192,-366.3319939,-129.8898828,1.02
1680.9335,-372.1149939,-129.8898828,1.22
1700.321,-360.1269939,-129.8898828,1.11
