# WELL TRACE FROM FRACMAN
# WELL NAME:              Well 6
# WELL HEAD X-COORDINATE: 12.0399999 (m)
# WELL HEAD Y-COORDINATE: 251.720006 (m)
# WELL DATUM (KB, Kelly bushing, from MSL): 2066.62012 (m)
# WELL TYPE:              UNDEFINED
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM <Undefined>
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
# MD IS NOT EXACT (TRACE WAS NOT IMPORTED WITH MD-DATA)
#======================================================================================================================================
      MD              X              Y             Z           
#======================================================================================================================================
    0.000000      12.040000     251.720006    2066.620117
    6.000000      12.040000     251.720006    2060.620117
   43.169998      12.031920     251.758083    2023.450138
   71.609997      11.801438     251.850129    1995.011223
  100.049999      10.785003     251.138942    1966.598289
  128.480001       8.932744     249.312367    1938.287552
  156.420000       7.263615     247.539271    1910.453873
  184.410006       5.903258     245.735327    1882.555206
  212.469999       4.673054     244.058768    1854.572372
  240.489996       3.621157     242.522511    1826.614304
  268.510015       2.665011     240.993547    1798.652374
  296.550014       1.866748     239.652852    1770.655823
  324.560005       1.229032     238.503327    1742.676697
  352.609995       0.746060     237.568389    1714.646454
  380.649990       0.350400     236.808980    1686.619537
  408.619987      -0.043187     236.117546    1658.660858
  436.640007      -0.298826     235.530177    1630.648163
  464.700006      -0.561229     235.116698    1602.592438
  492.689993      -0.648842     234.888696    1574.603516
  520.640020      -0.647448     234.859460    1546.653503
  548.599985      -0.562829     235.024465    1518.694153
  576.630020      -0.477999     235.189881    1490.664734
  597.000027      -0.488400     235.278152    1470.294922
  617.000015      -0.546445     235.369475    1450.295227
  630.419989      -0.607689     235.434058    1436.875549
  658.409973      -0.842426     235.574546    1408.886902
  686.470001      -1.042960     235.715066    1380.827942
  714.489990      -1.231228     235.871092    1352.809021
  742.509979      -1.426765     236.017905    1324.790100
  770.549978      -1.713408     236.247140    1296.752502
  798.559980      -2.102402     236.321134    1268.745300
  826.609991      -2.468224     236.352495    1240.697693
  854.649981      -2.873488     236.498160    1212.661011
  882.620014      -3.257422     236.690839    1184.694275
  910.640026      -3.613747     236.863860    1156.677063
  938.699972      -3.563160     236.283313    1128.623169
  966.689995      -3.502479     235.778919    1100.637756
  994.640009      -3.517610     235.349921    1072.691040
 1022.600000      -3.439858     235.149778    1044.731873
 1050.630060      -3.315345     234.939237    1016.702881
 1078.640038      -3.153444     234.756114     988.693970
 1106.680050      -2.997302     234.607837     960.654785
 1134.710001      -2.922669     234.475816     932.625244
 1162.759960      -2.983719     234.405637     904.575439
 1190.769974      -3.141943     234.308297     876.566040
 1218.759996      -3.214351     234.250226     848.576172
 1246.839960      -3.374434     234.155063     820.496826
 1274.819973      -3.441346     234.090783     792.516968
 1302.820017      -3.579635     234.028924     764.517334
 1330.829994      -3.758458     233.862285     736.508423
 1358.879990      -4.270501     233.584499     708.464478
 1386.870003      -4.191834     233.491078     680.474731
 1414.819946      -4.027816     233.709533     652.526123
 1442.849962      -3.891300     234.148645     624.499878
 1470.869976      -3.782127     234.625320     596.484131
 1498.909969      -3.654432     235.288430     568.452271
 1526.890017      -3.408134     235.978209     540.481812
 1554.850019      -3.153243     236.632983     512.530640
 1582.900026      -2.578925     236.277308     484.488770
 1618.790037      -1.770338     235.728824     448.612061
 1646.840057      -0.966126     235.065412     420.581421
 1674.870045      -0.479648     235.327901     392.556885
 1702.869980      -0.055058     235.725226     364.562988
 1730.879961       0.118741     235.851961     336.553833
 1758.929956       0.626509     236.137489     308.509888
 1786.959976       0.928153     235.399436     280.491211
 1796.339939       1.024480     235.076314     271.117310
 1799.999942       1.045347     234.923185     267.460571
 1805.699963       1.037276     234.619012     261.768677
 1815.019986       0.720262     233.776946     252.492188
 1824.370023       0.157906     232.437190     243.255737
 1833.680032      -0.753209     230.650569     234.164307
 1843.029947      -2.006041     228.427152     225.169434
 1852.340035      -3.483995     225.869321     216.340454
 1861.659953      -5.147050     223.006164     207.628540
 1870.999978      -6.935802     219.825153     199.031006
 1880.310001      -8.714421     216.356893     190.576172
 1889.649992     -10.384496     212.588155     182.195068
 1898.979974     -12.076983     208.555978     173.953369
 1908.300028     -13.949731     204.279607     165.886841
 1917.670002     -15.986182     199.655797     157.995728
 1927.009990     -18.141009     194.692929     150.382446
 1936.360041     -20.334699     189.336171     143.039673
 1945.699965     -22.379315     183.724729     135.858765
 1955.049978     -24.064893     177.975408     128.680542
 1964.389980     -25.498132     172.073651     121.584717
 1973.740035     -27.051415     166.131772     114.534546
 1983.130001     -28.372136     160.059125     107.495361
 1992.459959     -29.563817     154.079061     100.433716
 2001.810001     -30.509564     148.207379      93.218994
 2011.160017     -31.323167     142.697667      85.708740
 2020.509993     -32.103681     137.158055      78.217041
 2029.820035     -32.811997     131.405889      70.930908
 2039.170012     -33.514482     125.268842      63.911987
 2048.509995     -33.950238     118.876958      57.115723
 2057.870044     -34.216950     112.513387      50.256836
 2067.209973     -34.215821     106.045278      43.519043
 2076.560042     -34.063874      99.349553      36.994629
 2085.909981     -33.509263      92.646657      30.499634
 2095.229992     -32.674668      86.058644      23.960205
 2104.580074     -31.560956      79.644307      17.249023
 2113.930074     -30.284768      73.427205      10.383057
 2123.239969     -28.900079      67.317662       3.496094
 2132.580045     -27.441194      60.988454      -3.215820
 2141.930012     -25.884133      54.365499      -9.629395
 2151.299983     -24.328900      47.719091     -16.048340
 2160.650033     -22.718862      41.188802     -22.543457
 2169.970073     -21.078900      34.601476     -28.929443
 2179.799931     -19.174430      27.508748     -35.463379
 2188.620029     -17.274623      21.188390     -41.314697
 2197.969998     -14.943778      14.642614     -47.571045
 2207.310067     -12.383323       8.125844     -53.752686
 2216.659966      -9.526347       1.702947     -59.917480
 2226.010056      -6.343268      -4.617640     -66.028320
 2235.310017      -2.831243     -10.937892     -71.877197
 2244.659962       0.859645     -17.400844     -77.536621
 2254.019933       4.754501     -23.888087     -83.046143
 2263.360045       8.758048     -30.388118     -88.427490
 2272.710047      12.887536     -36.845210     -93.782471
 2282.079991      17.110058     -43.352290     -99.038330
 2291.390065      21.351096     -49.808650    -104.235107
 2300.739983      25.621908     -56.236750    -109.513428
 2310.069980      29.927381     -62.656062    -114.738770
 2319.410033      34.217639     -69.147792    -119.904785
 2328.760020      38.632750     -75.668879    -124.945068
 2338.089971      43.176934     -82.224177    -129.785156
 2347.450058      47.877887     -88.778315    -134.534424
 2356.790047      52.652701     -95.295100    -139.221436
 2366.129981      57.474887    -101.757502    -143.935059
 2375.480044      62.390155    -108.254298    -148.523682
 2384.850020      67.470595    -114.820521    -152.867676
 2394.170034      72.755851    -121.324031    -156.946045
 2403.490023      78.278312    -127.760371    -160.811035
 2412.799976      83.969214    -134.058619    -164.634766
 2422.099989      89.821082    -140.257625    -168.352051
 2431.409971      95.839034    -146.450343    -171.832031
 2440.750027     101.978248    -152.621791    -175.217285
 2450.089974     108.226356    -158.740382    -178.497314
 2459.420004     114.518729    -164.878718    -181.624023
 2468.760024     120.907943    -171.027186    -184.558350
 2478.109955     127.397933    -177.164454    -187.321533
 2487.460024     134.077033    -183.169917    -189.919189
 2496.799967     140.880927    -189.036677    -192.473145
 2506.140000     147.807105    -194.699641    -195.155518
 2515.480000     154.868354    -200.159175    -197.906494
 2524.819978     162.133765    -205.466914    -200.411865
 2534.149997     169.493918    -210.818324    -202.470947
 2543.490017     176.927573    -216.207301    -204.184326
 2552.839975     184.466392    -221.515498    -205.737061
 2562.180021     192.031409    -226.816523    -207.117676
 2571.529997     199.709250    -231.973872    -208.486816
 2575.140009     202.646460    -234.006923    -209.008057
 2584.460014     210.273490    -239.203883    -210.305176
 2593.809989     217.973075    -244.377772    -211.475342
 2603.150015     225.711493    -249.523066    -212.412842
 2612.500000     233.483115    -254.670894    -213.136719
 2621.820005     241.352271    -259.616786    -213.827393
 2631.199999     249.407050    -264.361415    -214.597656
 2640.539975     257.428351    -269.067469    -215.461914
 2649.899997     265.598548    -273.553492    -216.318359
 2659.239995     273.830619    -277.917689    -216.968262
 2668.549994     282.105674    -282.161342    -217.405273
 2677.900012     290.496848    -286.281215    -217.599365
 2685.299985     297.194327    -289.427089    -217.682129
 2687.209983     298.926719    -290.231227    -217.698730
 2715.230003     324.560355    -301.531642    -217.116699
 2743.290002     349.917319    -313.544886    -216.852295
 2771.279992     375.117118    -325.726954    -216.769287
 2799.229988     400.398551    -337.645045    -216.666748
 2827.190000     425.796775    -349.332301    -216.349609
 2855.219987     450.873252    -361.851344    -215.997314
 2883.230008     475.972373    -374.272487    -216.554688
 2911.269985     501.173972    -386.531459    -217.469727
 2939.300006     526.170859    -399.213099    -217.587158
 2967.350028     550.883689    -412.475123    -218.032715
 2995.359994     575.903403    -425.036891    -218.912598
 3023.350015     601.008384    -437.411830    -219.117676
 3051.429975     626.105430    -450.001429    -218.764893
 3079.409978     650.981467    -462.796962    -218.183838
 3107.409997     675.788901    -475.771510    -217.680420
 3135.200021     700.554526    -488.363002    -217.045166
 3163.469995     726.038596    -500.600245    -217.104492
 3191.459979     751.256492    -512.742213    -216.840576
 3219.409990     776.748252    -524.204005    -216.816162
 3247.440015     802.295188    -535.728175    -216.336670
 3275.459979     827.775657    -547.383265    -216.185059
 3303.500018     853.305198    -558.963954    -215.573486
 3331.479988     878.772544    -570.548610    -215.275635
 3359.439988     904.267417    -582.027858    -215.275635
 3387.489995     929.890037    -593.441127    -215.128662
 3415.530017     955.483848    -604.895167    -215.197266
 3443.579973     981.174949    -616.146022    -214.766357
 3471.610006    1006.969077    -627.116237    -214.776123
 3499.610008    1032.763877    -638.007045    -214.639404
 3527.619998    1058.169639    -649.800013    -214.458496
 3555.670041    1083.520469    -661.804957    -214.605469
 3583.700014    1108.808066    -673.893641    -214.889160
 3611.760028    1134.136435    -685.958400    -215.417969
 3639.769996    1159.476035    -697.893092    -215.256592
 3667.739961    1184.888877    -709.570948    -214.890381
 3695.719957    1210.256797    -721.346339    -214.060303
 3723.749978    1235.378989    -733.773463    -213.708008
 3751.790016    1260.404502    -746.420253    -213.869385
 3779.870021    1285.493857    -759.027919    -213.629150
 3807.899959    1310.803794    -771.073024    -213.629150
 3835.909955    1336.280601    -782.699550    -213.066895
 3863.949952    1361.763022    -794.398646    -213.203857
 3891.970004    1387.262900    -806.003505    -212.749023
 3919.980012    1412.696372    -817.723109    -212.157471
 3948.039935    1437.988242    -829.873500    -212.377930
 3976.020034    1463.317588    -841.760219    -212.250977
 4004.050010    1488.613120    -853.814784    -212.960205
 4032.049940    1514.041587    -865.526698    -213.429443
 4060.100030    1539.680137    -876.904139    -213.267822
 4091.999957    1568.930869    -889.598475    -212.343750
 4115.000017    1590.020835    -898.751185    -211.677490
