Well          IntervalSet        Index                 MD_Top[m]              MD_Bottom[m]                 Length[m]  Interval  ParentWell                  X_Top[m]                  Y_Top[m]                  Z_Top[m]               X_Bottom[m]               Y_Bottom[m]               Z_Bottom[m]               X_Center[m]               Y_Center[m]               Z_Center[m]
"Well 2"    "Well_2_stages"            1      2594.605224609375         2629.794921875        35.189697265625     "34"   "Well 2"      490.6565966033377      387.4180377190933          -209.43359375      522.9661974334158       373.622307128273       -211.17041015625      506.9394029998221       380.836059874855       -210.46240234375
"Well 2"    "Well_2_stages"            2         2634.794921875        2674.8349609375          40.0400390625     "33"   "Well 2"      527.4551195525564      371.4202960198745      -211.139892578125      563.3386034392752      353.6595538323745      -210.822509765625      545.4286913299002      362.6034625237808      -211.017333984375
"Well 2"    "Well_2_stages"            3        2679.8349609375       2719.31494140625         39.47998046875     "32"   "Well 2"      567.8091844939627      351.4208758538589       -210.77099609375      603.0153612517752      333.5615351861343       -210.30810546875      585.4286302947439       342.523430175148      -210.535888671875
"Well 2"    "Well_2_stages"            4       2724.31494140625      2763.320068359375        39.005126953125     "31"   "Well 2"      607.4574388884939      331.2668269341812        -210.2626953125      642.1335863494314      313.4179118340835      -209.680908203125      624.7863573455252      322.3217089837417       -210.06201171875
"Well 2"    "Well_2_stages"            5      2768.320068359375          2800.08984375        31.769775390625     "30"   "Well 2"      646.5810350799002      311.1351855462417        -209.5830078125      674.9172167205252      296.7873576348647      -208.879638671875      660.7407640838064      303.9450419610366      -209.218994140625
"Well 2"    "Well_2_stages"            6          2805.08984375      2837.344970703125        32.255126953125     "29"   "Well 2"      679.4024462127127      294.5784190362319           -208.8203125      708.3325609588064      280.3189566796646       -208.49560546875      693.8695482634939      287.4534609979019          -208.62890625
"Well 2"    "Well_2_stages"            7      2842.344970703125      2882.284912109375         39.93994140625     "28"   "Well 2"      712.8160204314627      278.1060021584854      -208.460693359375      748.7608446502127      260.6959565347061      -208.330810546875      730.7629808806814      269.3490803902969      -208.367431640625
"Well 2"    "Well_2_stages"            8      2887.284912109375      2919.420166015625         32.13525390625     "27"   "Well 2"      753.2692064666189      258.5339739983901      -208.309814453125      782.3329882049002      244.8373225396499      -208.495849609375      767.7569384002127      251.5863898461685      -208.242431640625
"Well 2"    "Well_2_stages"            9      2924.420166015625      2955.445068359375         31.02490234375     "26"   "Well 2"      786.8860277556814      242.7758010094985       -208.63720703125      815.0889086150564      229.8691714471206      -209.367919921875      801.0053514861502      236.3647654717788      -209.056396484375
"Well 2"    "Well_2_stages"           10      2960.445068359375          2998.53515625        38.090087890625     "25"   "Well 2"      819.6283373259939      227.7755053704605       -209.46826171875      854.1590380095877      211.7374385064468         -210.427734375      836.9067797088064      219.7850459283218      -210.024658203125
"Well 2"    "Well_2_stages"           11          3003.53515625      3035.614990234375        32.079833984375     "24"   "Well 2"      858.6720384978689      209.5858233636245      -210.368408203125      887.6520189666189      195.8315203851089       -210.09033203125      873.1496385955252      202.6834643548355      -210.177978515625
"Well 2"    "Well_2_stages"           12      3040.614990234375          3073.41015625        32.795166015625     "23"   "Well 2"      892.1738695525564      193.6979067986831      -210.067626953125      921.8347582244314       179.707153624855        -209.9560546875      907.0039476775564      186.7018283074722      -210.004638671875
"Well 2"    "Well_2_stages"           13          3078.41015625          3118.28515625                 39.875     "22"   "Well 2"      926.3570970916189      177.5744326775894      -209.942138671875      962.4493822478689      160.6231082146987        -209.9345703125      944.3911547088064      169.0728686517105      -209.910888671875
"Well 2"    "Well_2_stages"           14          3123.28515625          3156.28515625                     33     "21"   "Well 2"      966.9816698455252      158.5116046136245      -209.948486328125      996.9094042205252      144.6122897332534         -209.673828125      981.9421190642752      151.5535205071792        -209.8955078125
"Well 2"    "Well_2_stages"           15          3161.28515625       3194.64501953125         33.35986328125     "20"   "Well 2"      1001.444987716619      142.5088885491714      -209.606689453125      1031.655497970525      128.3658679192886         -209.185546875      1016.552897872869       135.443123168312      -209.393798828125
"Well 2"    "Well_2_stages"           16       3199.64501953125       3239.93994140625           40.294921875     "19"   "Well 2"      1036.179301681463      126.2371142571792      -209.126220703125      1072.778666915838      109.3882830804214      -208.686767578125      1054.421489181463      117.6884387200698            -208.890625
"Well 2"    "Well_2_stages"           17       3244.93994140625                3277.25         32.31005859375     "18"   "Well 2"      1077.334330978338      107.3284381097183       -208.63623046875      1106.712016525213       93.8849414056167      -208.230224609375      1092.025737228338      100.6121142571792       -208.43505859375
"Well 2"    "Well_2_stages"           18                3282.25        3314.5751953125          32.3251953125     "17"   "Well 2"       1111.25339836115      91.79419738706201      -208.164794921875      1140.636821212713      78.32595092710108      -207.808837890625      1125.933696212713      85.03583557065576      -207.953369140625
"Well 2"    "Well_2_stages"           19        3319.5751953125          3359.03515625          39.4599609375     "16"   "Well 2"      1145.187236251775      76.25414306577295          -207.76953125      1180.975810470525      59.64003784116358      -207.337158203125      1163.100688400213      67.98812133725733       -207.56787109375
"Well 2"    "Well_2_stages"           20          3364.03515625      3396.045166015625        32.010009765625     "15"   "Well 2"      1185.529521408025      57.57532531674951       -207.35107421875      1214.648295822088      44.28197509702295      -207.465576171875      1200.106181564275      50.96616393979639       -207.39599609375
"Well 2"    "Well_2_stages"           21      3401.045166015625      3433.525146484375         32.47998046875     "14"   "Well 2"      1219.185283126775      42.18077880796045      -207.491943359375      1248.582744064275      28.37264282163233       -207.72021484375        1233.9081835174       35.3280566399917      -207.587158203125
"Well 2"    "Well_2_stages"           22      3438.525146484375      3478.110107421875          39.5849609375     "13"   "Well 2"      1253.100688400213      26.23119384702295       -207.76123046875      1288.796611251775      9.125633544288576          -207.59765625       1270.95652336115      17.69474059995264         -207.619140625
"Well 2"    "Well_2_stages"           23      3483.110107421875      3515.824951171875            32.71484375     "12"   "Well 2"        1293.2997850799      6.953544921241701      -207.656982421875      1322.689189376775     -7.413489990867674         -207.935546875      1308.025126876775    -0.1660839850082994       -207.84130859375
"Well 2"    "Well_2_stages"           24      3520.824951171875        3553.8349609375        33.010009765625     "11"   "Well 2"      1327.171489181463     -9.628791504539549       -207.96435546875      1356.641215743963     -24.49832885805517      -208.242431640625       1341.91746086115      -17.0414501959458      -208.095458984375
"Well 2"    "Well_2_stages"           25        3558.8349609375        3598.7099609375                 39.875     "10"   "Well 2"      1361.129985275213     -26.70078247133642       -208.22119140625      1396.919291915838     -44.27530639711767      -207.788818359375      1379.031108322088      -35.4782177740708      -208.130615234375
"Well 2"    "Well_2_stages"           26        3603.7099609375       3635.77001953125         32.06005859375      "9"   "Well 2"       1401.40476554865     -46.48242919985205      -207.691162109375      1430.419780197088     -60.11374633852392      -207.545166015625      1415.880961837713      -53.3620068365708       -207.55908203125
"Well 2"    "Well_2_stages"           27       3640.77001953125      3672.704833984375        31.934814453125      "8"   "Well 2"      1434.957744064275     -62.21277587953955       -207.55810546875      1464.013286056463     -75.46042602602392       -207.68212890625      1449.458232345525     -68.89759033266455          -207.64453125
"Well 2"    "Well_2_stages"           28      3677.704833984375       3717.27001953125        39.565185546875      "7"   "Well 2"      1468.601787033025     -77.44693725649267      -207.666259765625      1504.798198165838     -93.41910522524267      -207.444580078125      1486.739116134588     -85.34464233461767      -207.589599609375
"Well 2"    "Well_2_stages"           29       3722.27001953125      3755.074951171875        32.804931640625      "6"   "Well 2"      1509.361186447088     -95.46286743227392      -207.412841796875      1539.116069259588     -109.2704846197739       -207.75634765625      1524.244975509588     -102.3527294928208      -207.627685546875
"Well 2"    "Well_2_stages"           30      3760.074951171875      3793.385009765625         33.31005859375      "5"   "Well 2"      1543.640483322088     -111.3985668951645         -207.736328125      1573.870463790838     -125.3820568853989        -207.4404296875      1558.711528243963     -118.4872509771958       -207.66943359375
"Well 2"    "Well_2_stages"           31      3798.385009765625      3838.554931640625           40.169921875      "4"   "Well 2"        1578.4238085174      -127.446540527977      -207.366943359375       1615.22898429865     -143.5314709478989         -207.033203125        1596.7851366424     -135.5831982428208      -207.173583984375
"Well 2"    "Well_2_stages"           32      3843.554931640625      3876.320068359375         32.76513671875      "3"   "Well 2"      1619.854228439275     -145.4303051764145      -206.988525390625      1649.969584884588     -158.3176647955552            -206.546875        1635.0087694549     -151.6518322760239        -206.8427734375
