Well          IntervalSet        Index                 MD_Top[m]              MD_Bottom[m]                 Length[m]  Interval  ParentWell                  X_Top[m]                  Y_Top[m]                  Z_Top[m]               X_Bottom[m]               Y_Bottom[m]               Z_Bottom[m]               X_Center[m]               Y_Center[m]               Z_Center[m]
"Well 6"    "Well_6_stages"            1       2764.49462890625      2795.335205078125        30.840576171875     "36"   "Well 6"      369.0081395721063     -322.7737683104351      -216.789306640625      396.8756322478876     -335.9842785643414       -216.68115234375      382.9276036834344     -329.4089611815289      -216.737548828125
"Well 6"    "Well_6_stages"            2      2800.335205078125      2833.070068359375         32.73486328125     "35"   "Well 6"      401.4025182342157     -338.1070202635601         -216.654296875      431.0572728728876     -351.9585217284039      -216.275634765625      416.2702855682001     -344.9485729979351      -216.468505859375
"Well 6"    "Well_6_stages"            3      2838.070068359375      2863.594970703125         25.52490234375     "34"   "Well 6"      435.5304174041376     -354.1916760252789         -216.212890625      458.3778905486688     -365.5652722166851           -216.1640625      446.9480809783563     -359.8917492674664      -216.052490234375
"Well 6"    "Well_6_stages"            4      2868.594970703125      2894.675048828125           26.080078125     "33"   "Well 6"      462.8582677459344     -367.7825573729351      -216.263427734375      486.2588719939813     -379.2762097166851       -216.92822265625      474.5431432342157     -373.5651501463726       -216.52294921875
"Well 6"    "Well_6_stages"            5      2899.675048828125      2925.719970703125           26.044921875     "32"   "Well 6"      490.7527379607782     -381.4621838377789       -217.09130859375      514.0603246307001     -393.0690563963726        -217.5302734375      502.4470128631219     -387.1773327635601        -217.4755859375
"Well 6"    "Well_6_stages"            6      2930.719970703125       2956.60498046875        25.885009765625     "31"   "Well 6"      518.5192784881219     -395.3312023924664       -217.55126953125      541.4170140838251     -407.3948620604351      -217.862060546875      530.0143041228876     -401.2756604002789      -217.656494140625
"Well 6"    "Well_6_stages"            7       2961.60498046875       2994.72509765625          33.1201171875     "30"   "Well 6"      545.8221654510126     -409.7588757323101          -217.94140625      575.3362645721063     -424.7521618651226         -218.892578125      560.5441503142938     -417.3254040526226       -218.37255859375
"Well 6"    "Well_6_stages"            8       2999.72509765625      3032.829833984375        33.104736328125     "29"   "Well 6"      579.8185643767938     -426.9667614744976      -218.944580078125      609.4811620330438     -441.6620739744976       -218.99853515625      594.6648168182001     -434.2849377440289       -219.06591796875
"Well 6"    "Well_6_stages"            9      3037.829833984375        3071.0048828125        33.175048828125     "28"   "Well 6"      613.9500341033563     -443.9038342284039      -218.935791015625      643.5088109588251     -458.9532116698101        -218.3583984375      628.7614354705438     -451.3675793455914      -218.702880859375
"Well 6"    "Well_6_stages"           10        3076.0048828125       3108.81005859375         32.80517578125     "27"   "Well 6"      647.9541234588251     -461.2397717284039      -218.254638671875      677.0365819549188     -476.4058483885601           -217.6484375      662.4969701385126     -468.8196667479351        -217.9501953125
