# WELL TRACE FROM FRACMAN
# WELL NAME:              Well C
# WELL HEAD X-COORDINATE: 13.5717164 (m)
# WELL HEAD Y-COORDINATE: 7.5019878 (m)
# WELL DATUM (KB, Kelly bushing, from MSL): 910.7 (m)
# WELL TYPE:              UNDEFINED
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM <Undefined>
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
# MD IS NOT EXACT (TRACE WAS NOT IMPORTED WITH MD-DATA)
#======================================================================================================================================
      MD              X              Y             Z           
 2235.500054      35.779568     -44.164898   -1314.089551
 2264.400009      36.263676     -40.272716   -1342.722119
 2287.020010      36.637894     -37.391391   -1365.154736
 2287.069985      36.638722     -37.385025   -1365.204297
 2293.300001      36.741489     -36.603374   -1371.384229
 2320.310049      37.010927     -33.774109   -1398.244336
 2320.460048      37.012415     -33.758426   -1398.393506
 2322.199891      37.028950     -33.578823   -1400.123975
 2335.379943      37.144587     -32.293281   -1413.240674
 2335.429989      37.145025     -32.288398   -1413.290479
 2351.099962      37.269268     -30.865429   -1428.895215
 2360.439937      37.328613     -30.064956   -1438.200635
 2360.489927      37.328932     -30.060665   -1438.250439
 2379.999948      37.388424     -28.592239   -1457.705029
 2408.399891      37.421057     -26.923099   -1486.055859
 2437.799984      37.441933     -25.563953   -1515.424512
 2451.670062      37.439266     -24.927517   -1529.279980
 2452.119998      37.439169     -24.906871   -1529.729443
 2457.680054      37.435963     -24.651764   -1535.283643
 2458.030032      37.435753     -24.635708   -1535.633252
 2466.799942      37.425468     -24.234949   -1544.393994
 2495.700064      37.299572     -22.122108   -1573.216504
 2516.800091      37.202440     -20.506258   -1594.254346
 2517.149999      37.200829     -20.479461   -1594.603223
 2524.700064      37.165419     -19.892103   -1602.130322
 2525.830012      37.160517     -19.803585   -1603.256787
 2526.080050      37.159452     -19.784000   -1603.506055
 2553.600102      37.279759     -17.297489   -1630.913281
 2582.500031      37.487017     -14.454780   -1659.672314
 2598.690012      37.621502     -12.866539   -1675.783643
 2599.139952      37.625240     -12.822395   -1676.231396
 2611.399986      37.737793     -11.622774   -1688.432080
 2640.400015      37.963730      -8.897943   -1717.302930
 2643.349925      37.987173      -8.623375   -1720.239941
 2643.799892      37.990772      -8.581485   -1720.687939
 2669.300027      38.231459      -6.394377   -1746.092969
 2698.299968      38.557709      -4.213988   -1775.008984
 2727.100097      38.848528      -2.160308   -1803.734326
 2756.099916      39.155285      -0.319309   -1832.674023
 2785.000063      39.391455       1.469753   -1861.517773
 2813.899900      39.635117       3.100136   -1890.370557
 2834.829900      39.797451       4.139149   -1911.274121
 2835.079970      39.799387       4.151521   -1911.523877
 2839.789899      39.835213       4.377968   -1916.228223
 2839.840007      39.835594       4.380376   -1916.278271
 2842.799910      39.857794       4.519600   -1919.234814
 2871.699942      40.156775       6.772350   -1948.045361
 2900.699976      40.960678      10.105471   -1976.841992
 2929.600065      41.840046      14.732828   -2005.355664
 2958.499931      42.782967      19.565717   -2033.832959
 2987.400045      43.734459      24.336134   -2062.320752
 3016.399992      44.221684      29.628434   -2090.829541
 3045.299906      44.738310      34.974251   -2119.226025
 3074.300098      45.300501      40.314167   -2147.724805
 3080.259905      45.414253      41.405609   -2153.582715
 3080.719922      45.423035      41.489869   -2154.034863
 3084.430091      45.492992      42.166828   -2157.682080
 3084.789959      45.499779      42.232499   -2158.035840
 3103.200044      45.828915      45.529995   -2176.145215
 3132.099960      46.310612      50.505284   -2204.609570
 3143.469903      46.508217      52.454041   -2215.809521
 3143.719980      46.512562      52.496907   -2216.055859
 3145.750025      46.548172      52.844456   -2218.055615
 3146.210013      46.556255      52.923203   -2218.508740
 3158.999902      46.791508      55.102917   -2231.109326
 3170.999950      46.976746      57.099717   -2242.940625
 3178.089943      47.073853      58.263428   -2249.933789
 3187.780099      47.047127      59.735600   -2259.511426
 3197.409994      46.945602      61.419651   -2268.992383
 3207.079910      46.832470      63.535958   -2278.427197
 3216.720100      46.699635      66.087620   -2287.722607
 3226.370086      46.623680      69.007683   -2296.919873
 3236.019988      46.601593      72.171597   -2306.036328
 3245.690051      46.659966      75.619191   -2315.070752
 3255.329907      46.757244      79.285176   -2323.985791
 3264.960079      46.754540      83.159047   -2332.802441
 3274.640099      46.674637      87.282841   -2341.559766
 3284.279913      46.653816      91.701138   -2350.127393
 3293.959956      46.740799      96.402195   -2358.588818
